"Date";"Open";"Close";"High";"Low";"Stochastic Oscillator";"RSI Move";"Target";"Wiki_Move";"Wiki_MA3_Move";"Wiki_EMA5_Move";"Wiki_RSI_Move";"Wiki_5day_Disparity";"Wiki_5day_Disparity_Move";"Wiki_3day_Disparity";"Google_EMA5_Move";"Google_MA_6";"Google_Move";"Google_3day_Disparity_Move";"Google_RSI_Move";"Google_ROC_Move"
2015-11-30;117,990192851204;114,303123;119,409561265649;117,749605556992;37,0341520032789;1;"1";"1";"0";"0";"1";1,0165743284138;"1";1,06520855354094;"0";0,333333333333333;"0";"NaN";"0";"NaN"
2015-12-01;118,749643611834;113,375557;118,809548885173;116,859728859391;26,6355356413222;0;"0";"1";"1";"0";"1";1,02936386057983;"1";1,05887984681666;"1";0,666666666666667;"1";"NaN";"1";"NaN"
2015-12-02;117,339936249879;112,351372;118,110008869883;116,079993092432;15,1537576345058;0;"0";"0";"1";"0";"0";1,04151872366615;"1";1,00068228337503;"1";0,666666666666667;"0";"0";"0";"0"
2015-12-03;116,5495753713;111,307861;116,790162681289;114,220033185018;3,45532263529093;0;"0";"1";"1";"1";"1";1,06424022683959;"1";1,02491979407595;"1";0,833333333333333;"1";"1";"1";"1"
2015-12-04;115,289630263552;115,008461;119,250141778292;115,109914444635;44,9414483762699;1;"1";"0";"0";"0";"0";0,895505150829214;"0";0,904713752333541;"0";1;"0";"0";"0";"NaN"
2015-12-07;118,979599295736;114,283798;119,859820304006;117,810480283653;14,6097456457726;0;"0";"1";"0";"0";"1";0,959407005565169;"1";0,980093956525201;"0";1;"0";"0";"0";"NaN"
2015-12-08;117,519647627692;114,235489;118,599874925851;116,859723437493;0,271168897086662;0;"1";"1";"0";"1";"1";1,02069548078277;"1";1,05839416058394;"1";1,16666666666667;"1";"1";"1";"NaN"
2015-12-09;117,640430330243;111,713676;117,68970724884;115,079962991387;-43,9734892251189;0;"0";"0";"1";"1";"0";1,00976968095148;"0";1,00824693685203;"1";1,16666666666667;"1";"1";"1";"1"
2015-12-10;116,040377813607;112,245087;116,939923116147;115,50992628719;-34,6499993321812;1;"0";"0";"0";"0";"0";0,990295012312298;"0";0,966616919330767;"0";1,16666666666667;"0";"0";"0";"0"
2015-12-11;115,190126437975;109,356125;115,390132780747;112,849955606114;-49,8416268600012;0;"0";"0";"0";"0";"0";0,936172267284666;"0";0,949017048698915;"0";1;"0";"0";"1";"1"
